,time,count,temp_real_C,temp_feels_like_C,humidity_percent,wind_speed_kph,weather,is_holiday,is_weekend,season
0,1/4/15 0:00,182,3,2,0.93,6,Broken clouds,0,1,winter
1,1/4/15 1:00,138,3,2.5,0.93,5,Clear,0,1,winter
2,1/4/15 2:00,134,2.5,2.5,0.965,0,Clear,0,1,winter
3,1/4/15 3:00,72,2,2,1,0,Clear,0,1,winter
4,1/4/15 4:00,47,2,0,0.93,6.5,Clear,0,1,winter
5,1/4/15 5:00,46,2,2,0.93,4,Clear,0,1,winter
6,1/4/15 6:00,51,1,-1,1,7,Cloudy,0,1,winter
7,1/4/15 7:00,75,1,-1,1,7,Cloudy,0,1,winter
8,1/4/15 8:00,131,1.5,-1,0.965,8,Cloudy,0,1,winter
9,1/4/15 9:00,301,2,-0.5,1,9,Broken clouds,0,1,winter
10,1/4/15 10:00,528,3,-0.5,0.93,12,Broken clouds,0,1,winter
11,1/4/15 11:00,727,2,-1.5,1,12,Broken clouds,0,1,winter
12,1/4/15 12:00,862,2,-1.5,0.965,13,Cloudy,0,1,winter
13,1/4/15 13:00,916,3,-0.5,0.87,15,Broken clouds,0,1,winter
14,1/4/15 14:00,1039,2.5,0,0.9,8,Broken clouds,0,1,winter
15,1/4/15 15:00,869,2,-1.5,0.93,11,Broken clouds,0,1,winter
16,1/4/15 16:00,737,3,0,0.93,12,Broken clouds,0,1,winter
17,1/4/15 17:00,594,3,0,0.93,11,Broken clouds,0,1,winter
18,1/4/15 18:00,522,3,1.5,0.93,6.5,Broken clouds,0,1,winter
19,1/4/15 19:00,379,3,1,0.93,7,Broken clouds,0,1,winter
20,1/4/15 20:00,328,3,3,0.93,4,Broken clouds,0,1,winter
21,1/4/15 21:00,221,3,2.5,0.93,5,Cloudy,0,1,winter
22,1/4/15 22:00,178,3,2,0.93,6,Cloudy,0,1,winter
23,1/4/15 23:00,157,4,3.5,0.87,5,Cloudy,0,1,winter
24,1/5/15 0:00,83,4,3,0.93,6,Cloudy,0,0,winter
25,1/5/15 1:00,67,4,3.5,0.93,5,Cloudy,0,0,winter
26,1/5/15 2:00,32,5,4,0.87,6,Cloudy,0,0,winter
27,1/5/15 3:00,22,6,4.5,0.84,7.5,Cloudy,0,0,winter
28,1/5/15 4:00,38,6.5,5,0.84,8,Cloudy,0,0,winter
29,1/5/15 5:00,81,6,5.5,0.87,5,Cloudy,0,0,winter
30,1/5/15 6:00,444,7,6.5,0.81,5,Broken clouds,0,0,winter
31,1/5/15 7:00,1597,7,6,0.81,6.5,Broken clouds,0,0,winter
32,1/5/15 8:00,3161,8,7.5,0.79,5,Broken clouds,0,0,winter
33,1/5/15 9:00,1342,8,7,0.82,6,Broken clouds,0,0,winter
34,1/5/15 10:00,568,9,8,0.845,6.5,Broken clouds,0,0,winter
35,1/5/15 11:00,584,9,7.5,0.905,10,Broken clouds,0,0,winter
36,1/5/15 12:00,762,10,8,0.85,11,Broken clouds,0,0,winter
37,1/5/15 13:00,873,10,8.5,0.82,10,Broken clouds,0,0,winter
38,1/5/15 14:00,672,10,9,0.82,9,Broken clouds,0,0,winter
39,1/5/15 15:00,807,10,8.5,0.79,10,Broken clouds,0,0,winter
40,1/5/15 16:00,1192,10,8.5,0.735,13,Broken clouds,0,0,winter
41,1/5/15 17:00,2761,9.5,7.5,0.735,12,Broken clouds,0,0,winter
